Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID
CHEMBL1202875;;0;464.44;0;4.82;10;Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1;IC50;'=';710.0;nM;6.15;;;UO_0000065;16.46;0.30;1.33;16.08;False;CHEMBL644839;In vitro inhibition of acetylcholinesterase from human erythrocytes;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134774;1;Scientific Literature;J. Med. Chem.;2001;None
CHEMBL235548;;0;497.77;1;5.09;33;CC[C@H](C)C1=N[C@H]2CC=C3C[C@H]4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CN1;IC50;'=';3832.0;nM;5.42;;;UO_0000065;10.88;0.21;0.33;8.34;False;CHEMBL900444;Inhibition of human recombinant AChE by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1137550;1;Scientific Literature;J. Med. Chem.;2007;None
CHEMBL396190;;0;568.84;2;6.72;16;CC(C)C1=N[C@H]2CC=C3C[C@H]4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](OC(=O)C(C)(C)C)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CO1;IC50;'=';839.0;nM;6.08;;;UO_0000065;10.68;0.20;-0.64;8.91;False;CHEMBL900444;Inhibition of human recombinant AChE by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1137550;1;Scientific Literature;J. Med. Chem.;2007;None
CHEMBL241536;;0;498.75;1;5.52;9c;C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@@H]4C(=CC[C@@H]5N=C(C(C)(C)C)OC[C@]54C)C[C@H]3C(=O)C[C@]12C)N(C)C;IC50;'=';351.0;nM;6.46;;;UO_0000065;12.94;0.24;0.93;10.39;False;CHEMBL900444;Inhibition of human recombinant AChE by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1137550;1;Scientific Literature;J. Med. Chem.;2007;None
CHEMBL590603;;0;764.17;2;7.07;18;Clc1cccc(Cl)c1CO/N=C/c1cc[n+](CCC[n+]2ccc(/C=N/OCc3c(Cl)cccc3Cl)cc2)cc1.[Br-].[Br-];IC50;'=';6000.0;nM;5.22;;;UO_0000065;8.64;0.18;-1.85;10.25;False;CHEMBL945890;Inhibition of human AchE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141467;1;Scientific Literature;J. Med. Chem.;2008;None
CHEMBL130672;;0;365.48;0;4.28;8 (3',4'-dimethylphenserine);Cc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1C;IC50;'=';31.0;nM;7.51;;;UO_0000065;20.54;0.38;3.23;16.76;False;CHEMBL644628;In vitro inhibition of human erythrocyte acetylcholinesterase.;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134282;1;Scientific Literature;J. Med. Chem.;2001;None
CHEMBL93123;;0;439.56;1;5.92;1j;O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1;IC50;'=';9.397;nM;8.03;;;UO_0000065;18.26;0.33;2.11;13.75;True;CHEMBL641020;Inhibition against Acetylcholinesterase (AChE);B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1129655;1;Scientific Literature;J. Med. Chem.;1996;None
CHEMBL308043;;0;289.38;0;2.12;33 (N-methylphycostigmine);CN(C)C(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C;IC50;'=';210.0;nM;6.68;;;UO_0000065;23.08;0.43;4.56;18.54;False;CHEMBL644628;In vitro inhibition of human erythrocyte acetylcholinesterase.;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134282;1;Scientific Literature;J. Med. Chem.;2001;None
CHEMBL95;TACRINE;4;198.27;0;2.70;tacrine;Nc1c2c(nc3ccccc13)CCCC2;IC50;'=';95.0;nM;7.02;;;UO_0000065;35.42;0.64;4.32;18.05;True;CHEMBL644627;Inhibitory concentration against acetylcholinesterase (AChE) from human erythrocytes;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1132590;1;Scientific Literature;J. Med. Chem.;1999;None
CHEMBL297506;;0;187.24;0;1.60;39u;C#CCNC1CCc2ccc(O)cc21;IC50;;;;;;No data;;;;;;False;CHEMBL643062;In vitro inhibitory concentration against purified Acetylcholinesterase of human erythrocytes.;B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135657;1;Scientific Literature;J. Med. Chem.;2002;None
CHEMBL131210;;0;365.48;0;4.28;9 (3',5'-dimethylphenserine);Cc1cc(C)cc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)c1;IC50;'=';78.0;nM;7.11;;;UO_0000065;19.45;0.36;2.83;15.86;True;CHEMBL644628;In vitro inhibition of human erythrocyte acetylcholinesterase.;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134282;1;Scientific Literature;J. Med. Chem.;2001;None
CHEMBL194823;LIPOCRINE;0;478.13;1;6.40;32, lipocrine;O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2;IC50;'=';0.25;nM;9.60;;;UO_0000065;20.08;0.42;3.20;17.78;True;CHEMBL945890;Inhibition of human AchE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141467;1;Scientific Literature;J. Med. Chem.;2008;None
CHEMBL254016;;0;691.01;2;7.65;8;CCN(CCCCCC(=O)N1CCC(C2CCN(C(=O)CCCCCN(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC;IC50;'=';3.3;nM;8.48;;;UO_0000065;12.27;0.23;0.83;12.94;False;CHEMBL945890;Inhibition of human AchE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141467;1;Scientific Literature;J. Med. Chem.;2008;None
CHEMBL199585;;0;537.54;2;7.62;34;O=C(CCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12;IC50;'=';0.008;nM;;Outside typical range;;UO_0000065;;;;;False;CHEMBL945890;Inhibition of human AchE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141467;1;Scientific Literature;J. Med. Chem.;2008;None
CHEMBL15056;;0;443.64;1;6.02;31;c1ccc2c(NCCc3ccc(OCCCN4CCCCC4)cc3)c3c(nc2c1)CCCC3;IC50;'=';2.6;nM;8.59;;;UO_0000065;19.35;0.36;2.57;22.96;False;CHEMBL945890;Inhibition of human AchE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141467;1;Scientific Literature;J. Med. Chem.;2008;None
CHEMBL109018;;0;314.77;0;4.64;23;Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O;IC50;'=';3390.0;nM;5.47;;;UO_0000065;17.38;0.34;0.83;13.87;False;CHEMBL945890;Inhibition of human AchE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141467;1;Scientific Literature;J. Med. Chem.;2008;None
CHEMBL257540;;0;577.80;2;5.26;14;COc1ccccc1CNCCCNCCCNCCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21;IC50;'=';952.0;nM;6.02;;;UO_0000065;10.42;0.19;0.76;5.95;False;CHEMBL945890;Inhibition of human AchE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141467;1;Scientific Literature;J. Med. Chem.;2008;None
CHEMBL538853;;0;389.88;0;3.68;9;CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CC[N@@+](C)([O-])[C@H]12.Cl;IC50;'=';200.0;nM;6.70;;;UO_0000065;18.95;0.35;3.02;10.37;False;CHEMBL644832;Ex vivo inhibition of human erythrocyte Acetylcholinesterase.;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135547;1;Scientific Literature;J. Med. Chem.;2002;None
CHEMBL344384;;0;372.64;1;5.45;21;C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@@]21C)N(C)C;IC50;'=';39810.72;nM;4.40;;;UO_0000065;11.81;0.22;-1.05;67.90;False;CHEMBL641237;Compound was tested for the in silico inhibition of acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1136484;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2003;None
CHEMBL136052;;0;402.67;1;5.44;32;CC(=O)N(C)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@]12C;IC50;'=';50118.72;nM;4.30;;;UO_0000065;10.68;0.20;-1.14;18.26;False;CHEMBL641237;Compound was tested for the in silico inhibition of acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1136484;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2003;None
