gene_name,target_type,target_group,target_group_score_normalized,Disease
CES1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CES2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CHRM1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CHRM2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CHRM3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CHRM4,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CHRM5,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CHRNA7,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CISD1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CNR1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CTRC,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CTSB,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CTSG,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CTSL,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CXCL8,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CXCR1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CXCR2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CYP1A2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CYP2A6,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CYP2B6,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CYP2C19,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CYP2C8,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CYP2C9,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CYP2D6,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CYP2E1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CYP3A4,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
CYSLTR1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
DRD1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
DRD3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
DRD4,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
EDNRA,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
EGFR,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ELANE,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ERBB2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ESR1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
ESR2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
F3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
FEN1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
FLT1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
FPR2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
FYN,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
GLRA1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
GNAS,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
GRIN2B,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
GSK3A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
GSK3B,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HDAC1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HDAC2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HDAC3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HDAC4,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HDAC5,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HDAC6,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HDAC7,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HDAC8,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HDAC9,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HMGCR,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HRH1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HRH2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HSP90AA1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HTR2A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HTR2B,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HTR2C,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HTR3A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
HTR6,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
JUN,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
KAT2A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
KCNH2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
KDM4A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
LCK,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MAOA,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MAOB,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MAPK1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MAPK14,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MAPK3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MAPT,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MBNL1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MC3R,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MC4R,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MC5R,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MMP1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MMP9,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
MTOR,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NEIL1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NFE2L2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NFKB1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NGF,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NGFR,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NISCH,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NPC1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NPY1R,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NPY2R,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NR1H4,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NR3C1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
NTHL1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
OGG1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
OPRD1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
OPRK1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
OPRM1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
OR51E2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
PDE5A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
PPARA,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
PPARD,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
PPP3CA,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
PRKCA,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
PTAFR,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
PTGS1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
PTGS2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
PTPRC,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
RAB9A,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
RAC1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
RECQL,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
RGS4,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
RORC,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
SIGMAR1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
SIRT5,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
SLC22A8,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
SLC36A1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
SLC6A2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
SLC6A3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
SLC7A5,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
SMAD3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
STAT3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
TACR1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
TACR2,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
TARDBP,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
TBXAS1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
THPO,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
THRB,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
TSHR,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
TTR,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
UGT1A10,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
UGT1A3,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
UGT1A6,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
UGT1A8,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
UGT1A9,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
UGT2B10,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
UGT2B15,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
UGT2B4,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
UGT2B7,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
VDR,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
VIPR1,SINGLE PROTEIN,T2 T3 T4,0.5714285714285715,Alzheimer's disease
AAK1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ABCB1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ABCC1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ABCG2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ABL1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ABL2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACAD10,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACAD11,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACADVL,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACE,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACMSD,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACOX1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACOX3,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACR,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACSL5,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACTR2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACTR3,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACVR1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACVR1B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACVR2A,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACVR2B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ACVRL1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ADCY1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ADK,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ADORA2B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ADRA1B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AGER,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AHR,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AK2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AKR1B1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AKR1B10,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AKR1C1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AKR1C2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AKR1C3,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AKR1C4,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AKT1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AKT2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AKT3,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALB,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALDH1A2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALDH1A3,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALDH1B1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALDH2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALDH3A1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALK,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALOX12,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALOX15B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALOX5,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALPI,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ALPL,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ANGPT1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ANGPT2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ANPEP,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ANTXR2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AOX1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
APEX1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
APH1A,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
APH1B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
APOBEC3F,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
APOBEC3G,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
APRT,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AQP2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AR,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ARAF,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ATM,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ATP12A,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
ATR,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AURKA,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AURKB,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AURKC,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AVPR2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
AXL,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BACE1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BACE2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BAX,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BAZ2B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BCL2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BCL2L1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BCR,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BLK,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BMP2K,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BMPR1A,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BMPR1B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BMPR2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BMX,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BRAF,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BRCA1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BRD2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BRD3,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BRDT,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BRS3,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BRSK1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BRSK2,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BTK,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BUB1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
BUB1B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
C5,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CA1,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CA12,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CA13,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CA14,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CA3,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CA4,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CA5A,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CA5B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CA7,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CA9,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CACNA1B,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CACNA1C,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
CACNA1D,SINGLE PROTEIN,T2 T4,0.39999999999999997,Alzheimer's disease
