symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
CDK5R1	0.6014868388111443	No data	No data	No data	0.9549947196932794	0.6881091477943119	No data	No data	cyclin dependent kinase 5 regulatory subunit 1
GRIN2C	0.6008659754998006	No data	No data	0.9854558665743252	No data	0.04324245537344661	0.03424116316113702	No data	glutamate ionotropic receptor NMDA type subunit 2C
FOXO3	0.5621463148442425	No data	No data	No data	0.9066612367713315	0.3605353126823932	No data	No data	forkhead box O3
PTGS2	0.5561156650054269	No data	No data	0.8688789335744607	No data	0.9177821554417299	No data	No data	prostaglandin-endoperoxide synthase 2
ABCA7	0.5376753492017851	0.6007582812377494	No data	No data	No data	0.928552782302845	No data	No data	ATP binding cassette subfamily A member 7
PTGS1	0.5277061242476788	No data	No data	0.8571345303614665	No data	0.21803947326269138	No data	No data	prostaglandin-endoperoxide synthase 1
BIN1	0.5249132737228226	0.8152028791435755	No data	No data	No data	0.9647919567488022	No data	No data	bridging integrator 1
CR1	0.5209221904169125	0.8133052010289301	No data	No data	No data	0.8714449393839605	No data	No data	complement C3b/C4b receptor 1 (Knops blood group)
HMGCR	0.5128029997653207	No data	No data	0.8045429092944967	No data	0.7754196344318279	0.009364719397570819	No data	3-hydroxy-3-methylglutaryl-CoA reductase
UNC5C	0.5054926577420483	0.8274613634158176	No data	No data	No data	0.08071349888867925	No data	No data	unc-5 netrin receptor C
APH1B	0.5040833196012033	0.6640756463123517	No data	0.6432229884302734	No data	0.19338258213260406	No data	No data	aph-1 homolog B, gamma-secretase subunit
OGG1	0.48796444572947717	No data	No data	No data	0.7599134970145264	0.8550192711310359	No data	No data	8-oxoguanine DNA glycosylase
SCN8A	0.48401381616057754	No data	No data	0.7734230702947845	No data	0.1863441956516507	No data	0.3720384498683718	sodium voltage-gated channel alpha subunit 8
SCN1A	0.4837866274235954	No data	No data	0.7734230702947845	No data	0.29420360100418225	0.011737921547836644	0.3136922915675965	sodium voltage-gated channel alpha subunit 1
SLC6A3	0.4768227985081658	No data	No data	0.7757534716856291	No data	0.17167650452447983	No data	No data	solute carrier family 6 member 3
GABBR1	0.4738283024089079	No data	No data	0.7734230702947845	No data	0.09710005795185614	0.05100772579081623	No data	gamma-aminobutyric acid type B receptor subunit 1
SCN2A	0.47201440059219324	No data	No data	0.7734230702947845	No data	0.0421329816678054	0.0404157635312317	No data	sodium voltage-gated channel alpha subunit 2
GABBR2	0.47158676356045237	No data	No data	0.7734230702947845	No data	0.03495602086266821	0.024909555299453295	No data	gamma-aminobutyric acid type B receptor subunit 2
SCN3A	0.47146629920678856	No data	No data	0.7734230702947845	No data	0.03343619386863916	0.019412203881495334	No data	sodium voltage-gated channel alpha subunit 3
SCN11A	0.4705572838702219	No data	No data	0.7734230702947845	No data	0.012158615952232422	No data	No data	sodium voltage-gated channel alpha subunit 11
SCN5A	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 5
SCN10A	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 10
SCN7A	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 7
SCN4A	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 4
SCN9A	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 9
CLU	0.4686242861967444	0.5772806916315836	No data	No data	No data	0.973637658731365	0.02558786498941004	No data	clusterin
ADAM10	0.46760408269259973	0.5992497126834634	No data	No data	No data	0.8935213282348028	0.02040312242200407	No data	ADAM metallopeptidase domain 10
SLC6A2	0.46300066003940477	No data	No data	0.7466093339623537	No data	0.2998318945246886	No data	No data	solute carrier family 6 member 2
CD2AP	0.4590970606506828	0.7309620745022006	No data	No data	No data	0.48435459208699	No data	No data	CD2 associated protein
SLC6A4	0.4579560518842441	No data	No data	0.736988922906631	No data	0.32628016838924495	No data	No data	solute carrier family 6 member 4
MT-ND1	0.45273532198875965	0.5957721816593886	No data	No data	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
HTR2A	0.4294950557147478	No data	No data	0.6701048539102804	No data	0.7057895160833209	0.04915908200446048	No data	5-hydroxytryptamine receptor 2A
CHRNA4	0.4224437931405662	No data	No data	0.6757615013273875	No data	0.382529218426249	No data	No data	cholinergic receptor nicotinic alpha 4 subunit
ECHDC3	0.42231823308984534	0.686300170671189	No data	No data	No data	0.1676250965647843	No data	No data	enoyl-CoA hydratase domain containing 3
DRD2	0.4163600719946452	No data	No data	0.6706983617233181	No data	0.283646823923174	No data	No data	dopamine receptor D2
CHRNB2	0.4139101765167853	No data	No data	0.6757615013273875	No data	0.10178619118344573	No data	No data	cholinergic receptor nicotinic beta 2 subunit
PLCG2	0.4133957444473333	0.6571615064145996	No data	No data	No data	0.45686205560268617	No data	No data	phospholipase C gamma 2
INPP5D	0.4114198003753414	0.6634640698470698	No data	No data	No data	0.26580522777599425	No data	No data	inositol polyphosphate-5-phosphatase D
HTR1A	0.408067785566454	No data	No data	0.6602508792583253	No data	0.21979284291612292	No data	No data	5-hydroxytryptamine receptor 1A
ADRB2	0.4073921278784563	No data	No data	0.6518369107724603	No data	0.36584410079397767	No data	No data	adrenoceptor beta 2
HTR6	0.403204263588529	No data	No data	0.6404392540661351	No data	0.4560228597323781	No data	No data	5-hydroxytryptamine receptor 6
APH1A	0.40282598328023916	No data	No data	0.6432229884302734	No data	0.3879033247868207	No data	No data	aph-1 homolog A, gamma-secretase subunit
NCSTN	0.40181716751643587	No data	No data	0.6432229884302734	No data	0.3547148182078928	No data	No data	nicastrin
CD33	0.39836166406162526	0.6214388088197688	No data	No data	No data	0.6767175944966259	No data	No data	CD33 molecule
PPARG	0.3981105067194858	No data	No data	0.6138750253692814	No data	0.8197305683731018	No data	No data	peroxisome proliferator activated receptor gamma
PSENEN	0.3972582788522349	No data	No data	0.6432229884302734	No data	0.20473430456681807	No data	No data	presenilin enhancer, gamma-secretase subunit
SLC24A4	0.39522972682452107	0.6442360997997556	No data	No data	No data	0.11773579615033725	No data	No data	solute carrier family 24 member 4
MPO	0.39105823711449095	0.607930797611621	No data	No data	No data	0.7066061635360921	No data	No data	myeloperoxidase
TRPV1	0.38981544680781205	No data	No data	0.607930797611621	No data	0.6657202498248116	No data	No data	transient receptor potential cation channel subfamily V member 1
HTR2C	0.38817347436436256	No data	No data	0.634662865739932	No data	0.07052503861292814	0.014704759929126284	No data	5-hydroxytryptamine receptor 2C
PICALM	0.3881027863511999	0.5934642120335778	No data	No data	No data	0.8987080333155523	No data	No data	phosphatidylinositol binding clathrin assembly protein
CAPN2	0.3861330484964495	No data	No data	No data	0.607930797611621	0.5376737156660885	0.01552774957516793	No data	calpain 2
BACE1	0.3860013865152623	No data	No data	0.585665451469733	No data	0.9855503813062496	No data	No data	beta-secretase 1
SIGMAR1	0.3859776144820858	No data	No data	0.6231290675519116	No data	0.2354959958728582	No data	No data	sigma non-opioid intracellular receptor 1
FAAH	0.38221375731628104	No data	No data	0.607930797611621	No data	0.41563620995067563	No data	No data	fatty acid amide hydrolase
CAST	0.3816458950068805	No data	No data	No data	0.607930797611621	0.3969544023623287	No data	No data	calpastatin
CAPN1	0.3789041129581393	No data	No data	No data	0.607930797611621	0.3067539367990498	No data	No data	calpain 1
ADRB1	0.3786748380603175	No data	No data	0.607930797611621	No data	0.2754643175365243	0.05343035245935643	No data	adrenoceptor beta 1
LMNA	0.3785349152073204	No data	No data	No data	0.607930797611621	0.29460789148371624	No data	No data	lamin A/C
JUN	0.37773421534128615	No data	No data	No data	0.607930797611621	0.268266081883676	No data	No data	Jun proto-oncogene, AP-1 transcription factor subunit
MMP1	0.3761662558017766	0.0452354370100624	No data	0.6058199267865807	No data	0.07362635779109734	No data	No data	matrix metallopeptidase 1
PRDX1	0.37554674912427033	No data	No data	No data	0.607930797611621	0.1643908938395554	0.07179946093394554	No data	peroxiredoxin 1
STAT4	0.37452280997741894	No data	No data	No data	0.607930797611621	0.06079307976116211	0.13559657589133514	No data	signal transducer and activator of transcription 4
PRDX2	0.37400812571041314	No data	No data	No data	0.607930797611621	0.03915467408528482	0.1282813143275777	No data	peroxiredoxin 2
FERMT2	0.37319844682028464	0.5991974081736262	No data	No data	No data	0.2815258764414842	0.027423220861334467	No data	FERM domain containing kindlin 2
LMNB1	0.37285217631472256	No data	No data	No data	0.607930797611621	0.1076544120770579	No data	No data	lamin B1
CAPNS1	0.3723479795984264	No data	No data	No data	0.607930797611621	0.030396539880581056	0.07755753253506738	No data	calpain small subunit 1
CDC25B	0.37221696093948325	No data	No data	No data	0.607930797611621	0.08675679090915842	No data	No data	cell division cycle 25B
MMP13	0.37162280999254216	No data	No data	0.6058199267865807	No data	0.1094275435700918	No data	No data	matrix metallopeptidase 13
CDC25C	0.37156634640363206	No data	No data	No data	0.607930797611621	0.06535256074324927	No data	No data	cell division cycle 25C
GOLGA2	0.37108191028330906	No data	No data	No data	0.607930797611621	No data	0.04941534807936593	No data	golgin A2
MMP7	0.3709863113539185	No data	No data	0.6058199267865807	No data	0.0884877049856915	No data	No data	matrix metallopeptidase 7
CDC25A	0.3707880728263085	No data	No data	No data	0.607930797611621	0.03974854198383983	No data	No data	cell division cycle 25A
ADRA1D	0.36994943453938645	No data	No data	0.607930797611621	No data	0.012158615952232422	No data	No data	adrenoceptor alpha 1D
ADRA1A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	adrenoceptor alpha 1A
CAPNS2	0.3695798546847018	No data	No data	No data	0.607930797611621	No data	No data	No data	calpain small subunit 2
PDE3A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	phosphodiesterase 3A
ADRA1B	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	adrenoceptor alpha 1B
ADRB3	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	adrenoceptor beta 3
CACNA2D1	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	calcium voltage-gated channel auxiliary subunit alpha2delta 1
MMP8	0.36953879025640346	No data	No data	0.6058199267865807	No data	0.04086645917278119	No data	No data	matrix metallopeptidase 8
ESR1	0.3669420297756035	No data	No data	0.5579116025414649	No data	0.9136034678583353	No data	No data	estrogen receptor 1
USP6NL	0.3662226080930894	0.6006605808514323	No data	No data	No data	0.03495602086266821	No data	No data	USP6 N-terminal like
APOC1	0.3645350072847749	0.5579319481820335	No data	No data	No data	0.8340091705523771	No data	No data	apolipoprotein C1
EPHA1	0.36357712924461266	0.5903086444975579	No data	No data	No data	0.1549625114135631	No data	No data	EPH receptor A1
TOMM40	0.36344446109068124	0.5684442253607946	No data	No data	No data	0.5878863133625758	No data	No data	translocase of outer mitochondrial membrane 40
N4BP2	0.36144881155290826	0.5945558490751462	No data	No data	No data	No data	No data	No data	NEDD4 binding protein 2
CHRNA7	0.3611909263331882	No data	No data	0.581334165760742	No data	0.25594963419978844	No data	No data	cholinergic receptor nicotinic alpha 7 subunit
CCDC6	0.35937576481863037	0.588863569205214	No data	No data	No data	0.03343619386863916	0.02747095701668056	No data	coiled-coil domain containing 6
ESR2	0.3577691865807192	No data	No data	0.5634795628299643	No data	0.5004716514253698	No data	No data	estrogen receptor 2
CSF1R	0.3541165529614449	0.547137717850459	No data	No data	No data	0.5881231114582804	No data	0.26779351634791904	colony stimulating factor 1 receptor
GLIS3	0.35180401079092644	0.577863422817908	No data	No data	No data	0.01654922726831635	No data	No data	GLIS family zinc finger 3
ABCA1	0.34618581429665907	0.5250489416102538	No data	No data	No data	0.8880087189017248	No data	No data	ATP binding cassette subfamily A member 1
ALDH5A1	0.33882385342512467	No data	No data	0.5552367070319738	No data	No data	0.04205607812432506	No data	aldehyde dehydrogenase 5 family member A1
TCF7L2	0.33807958501732266	0.5340115386986892	No data	No data	No data	0.4104654833261449	0.07111948756355997	No data	transcription factor 7 like 2
MTHFD1L	0.33419498612554943	0.5406664055470483	No data	No data	No data	0.18117940335184296	No data	No data	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
LRIG1	0.33034396178880804	0.5400625047167201	No data	No data	No data	0.012158615952232422	0.06116073837196779	No data	leucine rich repeats and immunoglobulin like domains 1
CLMN	0.3255376987719727	0.5326678901513834	No data	No data	No data	No data	0.05633810482609801	No data	calmin
ZNF652	0.32540417574256725	0.5352651601481341	No data	No data	No data	No data	No data	No data	zinc finger protein 652
MMP3	0.3241668854440157	0.5150863896848008	No data	No data	No data	0.3628704374701213	No data	No data	matrix metallopeptidase 3
CASS4	0.3236497327066525	0.5236550568210542	No data	No data	No data	0.17448355506603289	No data	No data	Cas scaffold protein family member 4
NECTIN2	0.3236175539479666	0.4986970452683506	No data	No data	No data	0.6725851538279982	No data	No data	nectin cell adhesion molecule 2
FBXL7	0.32282218796814655	0.5245750175156983	No data	No data	No data	0.12885937603708325	No data	No data	F-box and leucine rich repeat protein 7
ANKRD55	0.32140217111020114	0.5286821664125169	No data	No data	No data	No data	No data	No data	ankyrin repeat domain 55
PTPRG	0.3192702524168771	0.5212997632104238	No data	No data	No data	0.07751117669548169	No data	No data	protein tyrosine phosphatase receptor type G
TGM6	0.3192145961740454	0.5244758409542793	No data	No data	No data	0.012158615952232422	No data	No data	transglutaminase 6
PILRA	0.31837453042975256	0.49731901860081257	No data	No data	No data	0.5276581758102842	No data	No data	paired immunoglobin like type 2 receptor alpha
TECRL	0.31748615541442393	0.5222406179481817	No data	No data	No data	No data	No data	No data	trans-2,3-enoyl-CoA reductase like
LIPG	0.3171203912788734	0.5216389637188064	No data	No data	No data	No data	No data	No data	lipase G, endothelial type
SCARB1	0.3169651885996795	0.5176745464534928	No data	No data	No data	0.07418241286120869	No data	No data	scavenger receptor class B member 1
TMEM106B	0.3161374695025639	0.484904864009608	No data	No data	No data	0.7023453604693679	No data	No data	transmembrane protein 106B
GAB2	0.31460783649157675	0.447434785075353	No data	No data	0.4559480982087158	0.5884967037752628	No data	No data	GRB2 associated binding protein 2
MAPT	0.313396123278799	0.4377101742803672	No data	0.1848812769692159	No data	0.998460221974504	No data	0.5869820933697556	microtubule associated protein tau
BZW2	0.3111185692528039	0.5102465952288555	No data	No data	No data	0.030396539880581056	No data	No data	basic leucine zipper and W2 domains 2
GRN	0.3100738263596714	0.38867326818246756	No data	No data	No data	0.9362223654087924	No data	0.2721098250109616	granulin precursor
SERPINF2	0.30735756890914584	0.5048199487449744	No data	No data	No data	0.015198269940290528	No data	No data	serpin family F member 2
SPRED2	0.30698605960679154	0.5043608268518582	No data	No data	No data	0.012158615952232422	No data	No data	sprouty related EVH1 domain containing 2
TSPOAP1	0.3044326520604377	0.4957654996986746	No data	No data	No data	0.10006192850396135	No data	No data	TSPO associated protein 1
MYO16	0.30418803939601635	0.49884639987106894	No data	No data	No data	0.030396539880581056	No data	No data	myosin XVI
PDGFRB	0.30381948439123363	No data	No data	0.4627028848488449	No data	0.7411419403782034	No data	No data	platelet derived growth factor receptor beta
SPI1	0.3017611670828575	0.46788264236912336	No data	No data	No data	0.5698312764154126	No data	No data	Spi-1 proto-oncogene
GLP1R	0.3008337104544618	No data	No data	0.4559480982087158	No data	0.7780102450425149	No data	No data	glucagon like peptide 1 receptor
FGFR3	0.2977752842597211	No data	No data	0.4559480982087158	No data	0.6539222880495934	0.05280835477883369	No data	fibroblast growth factor receptor 3
ABL1	0.2964870522653592	No data	No data	0.4756889621644932	No data	0.2401945126102644	No data	No data	ABL proto-oncogene 1, non-receptor tyrosine kinase
ACMSD	0.2957522746030617	0.4813226225547752	No data	No data	No data	0.10334823559397559	No data	No data	aminocarboxymuconate semialdehyde decarboxylase
IL6R	0.2956369673648638	0.47288464302433164	No data	No data	No data	0.26831439317886013	No data	No data	interleukin 6 receptor
CRY2	0.2954391270795835	0.48029509250283614	No data	No data	No data	0.09878875461188842	0.033318009143304114	No data	cryptochrome circadian regulator 2
ADORA2A	0.29474829019088566	No data	No data	0.44750461490855437	No data	0.7466788260708109	No data	No data	adenosine A2a receptor
PTK2B	0.29406410403693317	0.45185907914001683	No data	No data	No data	0.6370808560240631	No data	No data	protein tyrosine kinase 2 beta
DRD4	0.29391884772453936	No data	No data	0.4732572389740467	No data	0.20433894726095467	No data	No data	dopamine receptor D4
PGR	0.2905718946387722	No data	No data	0.4770568064591193	No data	0.01823792392834863	No data	No data	progesterone receptor
DRD3	0.289950022060044	No data	No data	0.4732572389740467	No data	0.07377061020391876	No data	No data	dopamine receptor D3
HS3ST1	0.2896661044206561	0.47203426578665764	No data	No data	No data	0.0888896147907792	No data	No data	heparan sulfate-glucosamine 3-sulfotransferase 1
PDE7B	0.2873691003661634	0.4727003492751987	No data	No data	No data	No data	No data	No data	phosphodiesterase 7B
HAVCR2	0.2872771306440529	0.47254906606587316	No data	No data	No data	No data	No data	No data	hepatitis A virus cellular receptor 2
ANKRD31	0.28675432407762186	0.4716890889624183	No data	No data	No data	No data	No data	No data	ankyrin repeat domain 31
CNTNAP5	0.2844348299553573	0.4655264089002315	No data	No data	No data	0.046945767148897415	No data	No data	contactin associated protein family member 5
NR3C1	0.2838944184814165	No data	No data	0.4559480982087158	No data	0.2207332641889477	No data	No data	nuclear receptor subfamily 3 group C member 1
BCR	0.28276731912259123	No data	No data	0.4627028848488449	No data	0.04129763014686579	0.016335099038595816	No data	BCR activator of RhoGEF and GTPase
KIT	0.281660913698041	No data	No data	0.4627028848488449	No data	0.012158615952232422	No data	No data	KIT proto-oncogene, receptor tyrosine kinase
MAN2A1	0.2812744045611222	0.4626750374650626	No data	No data	No data	No data	No data	No data	mannosidase alpha class 2A member 1
PDGFRA	0.2783808924877143	No data	No data	0.4559480982087158	No data	0.039346632178752144	No data	No data	platelet derived growth factor receptor alpha
CACNA1C	0.2780506320496673	No data	No data	0.42555155832813474	No data	0.5148532225568518	No data	0.27350806584546833	calcium voltage-gated channel subunit alpha1 C
NFIC	0.2762794483905155	0.44175555904402175	No data	No data	No data	0.21371139657054095	0.09079132384714529	No data	nuclear factor I C
ADORA1	0.2757422130159426	No data	No data	0.44750461490855437	No data	0.12140775082302714	No data	No data	adenosine A1 receptor
ADRA2C	0.27482881943991133	No data	No data	0.45024874698110684	No data	0.03647584785669727	No data	No data	adrenoceptor alpha 2C
HLA-DQA1	0.2740592918539543	0.4490050544610703	No data	No data	No data	0.03603340933176881	No data	No data	major histocompatibility complex, class II, DQ alpha 1
ADRA2A	0.2737200798758572	No data	No data	0.45024874698110684	No data	No data	No data	No data	adrenoceptor alpha 2A
ADRA2B	0.2737200798758572	No data	No data	0.45024874698110684	No data	No data	No data	No data	adrenoceptor alpha 2B
ADORA2B	0.2727858641320709	No data	No data	0.44750461490855437	No data	0.024148362238461615	No data	No data	adenosine A2b receptor
ADORA3	0.27233228403760223	No data	No data	0.44750461490855437	No data	No data	0.009226265965311795	No data	adenosine A3 receptor
VCP	0.2705957617283148	0.4377101742803672	No data	No data	No data	0.14798613174400307	No data	No data	valosin containing protein
VDR	0.2704532656239441	No data	No data	0.42555155832813474	No data	0.3864705453582804	No data	No data	vitamin D receptor
CRADD	0.2692907167271039	0.4429627809366903	No data	No data	No data	No data	No data	No data	CASP2 and RIPK1 domain containing adaptor with death domain
APOB	0.2692607367623157	0.40518774404083424	No data	No data	No data	0.7545144426050225	No data	No data	apolipoprotein B
PDE5A	0.26695972782141764	No data	No data	0.42555155832813474	No data	0.27153845715838815	No data	No data	phosphodiesterase 5A
CNTNAP2	0.26513723322029337	0.4197970639177829	No data	No data	No data	0.10485144271118217	0.009227272432312071	0.27776358142874963	contactin associated protein 2
DBN1	0.2615735883250981	0.4137306817079088	No data	No data	No data	0.3307601798595639	No data	No data	drebrin 1
SPATS2L	0.2613706929836405	0.4276902064816589	No data	No data	No data	No data	0.04489473578005925	No data	spermatogenesis associated serine rich 2 like
CACNA1D	0.26124162672671125	No data	No data	0.42555155832813474	No data	0.08342161500559467	No data	No data	calcium voltage-gated channel subunit alpha1 D
DSG2	0.26119238742739465	0.4274885559283902	No data	No data	No data	0.043061764830823156	No data	No data	desmoglein 2
IL34	0.2587716238770513	0.4090662831729498	No data	No data	No data	0.33186777545503593	No data	No data	interleukin 34
CHRNA9	0.25870589827929125	No data	No data	0.42555155832813474	No data	No data	No data	No data	cholinergic receptor nicotinic alpha 9 subunit
CHRNA10	0.25870589827929125	No data	No data	0.42555155832813474	No data	No data	No data	No data	cholinergic receptor nicotinic alpha 10 subunit
CACNA1S	0.25870589827929125	No data	No data	0.42555155832813474	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 S
CACNA1F	0.25870589827929125	No data	No data	0.42555155832813474	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 F
LILRA5	0.2541886715536253	0.4181210633714509	No data	No data	No data	No data	No data	No data	leukocyte immunoglobulin like receptor A5
EDAR	0.2521285938357009	0.41473239195355627	No data	No data	No data	No data	No data	No data	ectodysplasin A receptor
DPP10	0.249254234472464	0.40744633894394156	No data	No data	No data	0.04162637266979572	0.02144841671800105	No data	dipeptidyl peptidase like 10
SPPL2A	0.24383875190711204	0.397837046900576	No data	No data	No data	0.06518369107724604	No data	No data	signal peptide peptidase like 2A
CYP8B1	0.2436961047949754	0.4008615877866112	No data	No data	No data	No data	No data	No data	cytochrome P450 family 8 subfamily B member 1
SAP30L	0.23877802665869838	0.39277172269736305	No data	No data	No data	No data	No data	No data	SAP30 like
CLNK	0.23828395773977507	0.39135108604430807	No data	No data	No data	0.012158615952232422	No data	No data	cytokine dependent hematopoietic cell linker
SCARA3	0.2355350606772272	0.38576548021287693	No data	No data	No data	0.03343619386863916	No data	No data	scavenger receptor class A member 3
ALDH1A2	0.22904167238382206	0.3747518451609791	No data	No data	No data	0.04008628131584628	No data	No data	aldehyde dehydrogenase 1 family member A2
PRKD3	0.22751930255034672	0.37425197644896796	No data	No data	No data	No data	No data	No data	protein kinase D3
IQCK	0.22230182880212343	0.3647577321156883	No data	No data	No data	0.01823792392834863	No data	No data	IQ motif containing K
SLC10A2	0.2221005905959196	0.3626173736466	No data	No data	No data	0.054424661938831005	No data	No data	solute carrier family 10 member 2
ADAMTS4	0.2220019004003372	0.36517626886566124	No data	No data	No data	No data	No data	No data	ADAM metallopeptidase with thrombospondin type 1 motif 4
MS4A6A	0.21796282807767195	0.34341305845997655	No data	No data	No data	0.3023848626837995	No data	No data	membrane spanning 4-domains A6A
BCL3	0.21549300526523238	0.3496061842281174	No data	No data	No data	0.09726892761785938	No data	No data	BCL3 transcription coactivator
PRELID2	0.21112139848516148	0.34727866940545626	No data	No data	No data	No data	No data	No data	PRELI domain containing 2
HLA-DRB1	0.20986159021948272	0.32043338854582587	No data	No data	No data	0.49545983847476066	No data	No data	major histocompatibility complex, class II, DR beta 1
TYROBP	0.20952353810316038	No data	No data	No data	0.607930797611621	0.8136982320349768	No data	No data	transmembrane immune signaling adaptor TYROBP
LRRTM1	0.20775590904215088	0.32798558513228837	No data	No data	No data	0.021277577916406734	0.038625209691442	0.25265603948738974	leucine rich repeat transmembrane neuronal 1
RIN3	0.2072793727231051	0.3061017262618186	No data	No data	No data	0.6971420500397606	No data	No data	Ras and Rab interactor 3
WWC1	0.20705159532174391	0.3127701902950572	No data	No data	No data	0.18224761773224596	No data	0.4752802975727654	WW and C2 domain containing 1
ZNF12	0.2068547303255386	0.34026032426422415	No data	No data	No data	No data	No data	No data	zinc finger protein 12
AGER	0.20504294876046977	No data	No data	0.2919418785863807	No data	0.9067640515499826	No data	No data	advanced glycosylation end-product specific receptor
TNIP1	0.20428493107470025	0.3360331996294231	No data	No data	No data	No data	No data	No data	TNFAIP3 interacting protein 1
JCAD	0.2004838325728938	0.3193223295030718	No data	No data	No data	0.20916703440157844	No data	No data	junctional cadherin 5 associated
FUT2	0.19553904006116832	0.32164687301479533	No data	No data	No data	No data	No data	No data	fucosyltransferase 2
NCR2	0.19517351824105328	0.32104561737591164	No data	No data	No data	No data	No data	No data	natural cytotoxicity triggering receptor 2
MS4A4A	0.19442341251368267	0.3100966414791389	No data	No data	No data	0.1943021786620528	No data	No data	membrane spanning 4-domains A4A
RABEP1	0.19438264700592545	0.310941166417621	No data	No data	No data	0.13370255805805584	0.0953279967108872	No data	rabaptin, RAB GTPase binding effector protein 1
ITGA2B	0.19053507938680728	0.31037608368366837	No data	No data	No data	0.06079307976116211	No data	No data	integrin subunit alpha 2b
CNN2	0.19009304359158435	0.3126886223537338	No data	No data	No data	No data	No data	No data	calponin 2
NDUFAF6	0.18870348340187146	0.3098678355124581	No data	No data	No data	No data	0.010701316856265212	No data	NADH:ubiquinone oxidoreductase complex assembly factor 6
CCRL2	0.18818099969012947	0.30954345532326466	No data	No data	No data	No data	No data	No data	C-C motif chemokine receptor like 2
PDCL3	0.18760936118844806	0.3064753956026426	No data	No data	No data	0.04255515583281348	No data	No data	phosducin like 3
PLEC	0.18513825622145688	0.3037784598652331	No data	No data	No data	0.015198269940290528	No data	No data	plectin
ACKR2	0.18317358152696264	0.2946193938999203	No data	No data	No data	0.13374477547455663	No data	No data	atypical chemokine receptor 2
NPAS2	0.18277286061422796	0.3006474772001814	No data	No data	No data	No data	No data	No data	neuronal PAS domain protein 2
