"accession","pref_name","standar_type","chembl_id_ligand","standard_inchi","standard_inchi_key","canonical_smiles (Canonical)","Activity_type"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL1223498","InChI=1S/C14H16ClN3O2/c1-7(2)12(16)14(20)18-11-5-8-3-4-17-13(19)9(8)6-10(11)15/h3-7,12H,16H2,1-2H3,(H,17,19)(H,18,20)/t12-/m0/s1","WXRZSOWZRRRJSB-LBPRGKRZSA-N","CC(C)[C@H](N)C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL1085773","InChI=1S/C23H24ClN3O2/c1-13(2)14-4-3-5-15(8-14)18-11-25-12-19(18)23(29)27-21-9-16-6-7-26-22(28)17(16)10-20(21)24/h3-10,13,18-19,25H,11-12H2,1-2H3,(H,26,28)(H,27,29)","BNZWVFLAIKWMBC-UHFFFAOYSA-N","CC(C)c1cccc(C2CNCC2C(=O)Nc2cc3cc[nH]c(=O)c3cc2Cl)c1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL2002992","InChI=1S/C16H22N4O/c1-10(17)11-2-4-12(5-3-11)16(21)20-14-7-9-19-15-13(14)6-8-18-15/h6-12H,2-5,17H2,1H3,(H2,18,19,20,21)","DWTNLZZEPSCAIH-UHFFFAOYSA-N","CC(N)C1CCC(C(=O)Nc2ccnc3[nH]ccc23)CC1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3185765","InChI=1S/C16H16N4O/c1-10(17)11-2-4-12(5-3-11)16(21)20-14-7-9-19-15-13(14)6-8-18-15/h2-10H,17H2,1H3,(H2,18,19,20,21)","JTVBXQAYBIJXRP-UHFFFAOYSA-N","CC(N)c1ccc(C(=O)Nc2ccnc3[nH]ccc23)cc1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL2440742","InChI=1S/C20H18FN3O/c1-13(22)18-7-4-15(20(25)24-17-8-10-23-11-9-17)12-19(18)14-2-5-16(21)6-3-14/h2-13H,22H2,1H3,(H,23,24,25)","JJNXXPMAFUVGRU-UHFFFAOYSA-N","CC(N)c1ccc(C(=O)Nc2ccncc2)cc1-c1ccc(F)cc1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL1999428","InChI=1S/C20H18N2O/c1-15(16-5-3-2-4-6-16)22-20(23)19-9-7-17(8-10-19)18-11-13-21-14-12-18/h2-15H,1H3,(H,22,23)","YGEACCLUBSGMMJ-UHFFFAOYSA-N","CC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3893554","InChI=1S/C20H19F2N3O2/c1-11(19-17(21)4-3-5-18(19)22)25-20(27)13-6-7-15(14-9-23-24-10-14)16(8-13)12(2)26/h3-12,26H,1-2H3,(H,23,24)(H,25,27)","YVTWDJQRSGSDSG-UHFFFAOYSA-N","CC(O)c1cc(C(=O)NC(C)c2c(F)cccc2F)ccc1-c1cn[nH]c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3890248","InChI=1S/C20H20FN3O2/c1-12(16-5-3-4-6-19(16)21)24-20(26)14-7-8-17(15-10-22-23-11-15)18(9-14)13(2)25/h3-13,25H,1-2H3,(H,22,23)(H,24,26)","LYLJYIZTSPUCNP-UHFFFAOYSA-N","CC(O)c1cc(C(=O)NC(C)c2ccccc2F)ccc1-c1cn[nH]c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL4114494","InChI=1S/C20H19F2N3O2/c1-11(19-17(21)4-3-5-18(19)22)25-20(27)13-6-7-15(14-9-23-24-10-14)16(8-13)12(2)26/h3-12,26H,1-2H3,(H,23,24)(H,25,27)/t11-,12?/m1/s1","YVTWDJQRSGSDSG-JHJMLUEUSA-N","CC(O)c1cc(C(=O)N[C@H](C)c2c(F)cccc2F)ccc1-c1cn[nH]c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL4112045","InChI=1S/C20H21N3O2/c1-13(15-6-4-3-5-7-15)23-20(25)16-8-9-18(17-11-21-22-12-17)19(10-16)14(2)24/h3-14,24H,1-2H3,(H,21,22)(H,23,25)/t13-,14?/m1/s1","PWWJBQFUGNBNDJ-KWCCSABGSA-N","CC(O)c1cc(C(=O)N[C@H](C)c2ccccc2)ccc1-c1cn[nH]c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL4113260","InChI=1S/C20H20FN3O2/c1-12(16-5-3-4-6-19(16)21)24-20(26)14-7-8-17(15-10-22-23-11-15)18(9-14)13(2)25/h3-13,25H,1-2H3,(H,22,23)(H,24,26)/t12-,13?/m1/s1","LYLJYIZTSPUCNP-PZORYLMUSA-N","CC(O)c1cc(C(=O)N[C@H](C)c2ccccc2F)ccc1-c1cn[nH]c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3426632","InChI=1S/C31H29FN4O4/c1-3-19(2)40-31(39)23-8-5-9-25(15-23)35-29(37)21-7-4-6-20(14-21)26-16-22(10-11-24(26)17-33)30(38)36-28-12-13-34-18-27(28)32/h4-16,18-19H,3,17,33H2,1-2H3,(H,35,37)(H,34,36,38)","FSXWOYZHDRWNTD-UHFFFAOYSA-N","CCC(C)OC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL4634858","InChI=1S/C15H20N2O2/c1-3-12(18)10-16-9-11-6-7-17-15-5-4-13(19-2)8-14(11)15/h4-8,12,16,18H,3,9-10H2,1-2H3","VJKNDSDPZOBVFW-UHFFFAOYSA-N","CCC(O)CNCc1ccnc2ccc(OC)cc12","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL1992073","InChI=1S/C18H23N5O2S/c1-2-11-7-12(22-26(24,25)14-3-4-14)8-15(11)18-21-10-13-9-20-17-16(23(13)18)5-6-19-17/h5-6,9-12,14-15,19,22H,2-4,7-8H2,1H3","LUPCHAFIKZSOOK-UHFFFAOYSA-N","CCC1CC(NS(=O)(=O)C2CC2)CC1c1ncc2cnc3[nH]ccc3n12","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3578252","InChI=1S/C24H24N2O3/c1-4-22-21-13-17(8-9-19(21)20-10-11-25-14-23(20)29-22)24(27)26-15(2)16-6-5-7-18(12-16)28-3/h5-15,22H,4H2,1-3H3,(H,26,27)/t15-,22?/m1/s1","TUQZDIZIVRTIGP-JGHKVMFLSA-N","CCC1Oc2cnccc2-c2ccc(C(=O)N[C@H](C)c3cccc(OC)c3)cc21","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL1968705","InChI=1S/C31H33N7O2/c1-2-6-29(39)33-23-8-5-7-21(17-23)30-35-28-12-10-25(40-16-15-38-13-3-4-14-38)19-26(28)31(36-30)34-24-9-11-27-22(18-24)20-32-37-27/h5,7-12,17-20H,2-4,6,13-16H2,1H3,(H,32,37)(H,33,39)(H,34,35,36)","HTROFVQKJODSCL-UHFFFAOYSA-N","CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3cc(OCCN4CCCC4)ccc3n2)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3666722","InChI=1S/C32H36N8O2/c1-3-5-30(41)34-24-7-4-6-22(18-24)31-36-29-11-9-26(42-17-16-40-14-12-39(2)13-15-40)20-27(29)32(37-31)35-25-8-10-28-23(19-25)21-33-38-28/h4,6-11,18-21H,3,5,12-17H2,1-2H3,(H,33,38)(H,34,41)(H,35,36,37)","OYYKFTMPIAGPIG-UHFFFAOYSA-N","CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3cc(OCCN4CCN(C)CC4)ccc3n2)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3666754","InChI=1S/C30H33N7O2/c1-5-7-28(38)32-22-9-6-8-20(16-22)29-34-26-12-11-24(39-15-14-36(2)3)18-25(26)30(35-29)33-23-10-13-27-21(17-23)19-31-37(27)4/h6,8-13,16-19H,5,7,14-15H2,1-4H3,(H,32,38)(H,33,34,35)","QEQGYYKHVSFREH-UHFFFAOYSA-N","CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4c(cnn4C)c3)c3cc(OCCN(C)C)ccc3n2)c1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL3793688","InChI=1S/C24H27N3O3/c1-2-3-4-23(28)30-16-17-5-7-18(8-6-17)22(14-25)24(29)27-21-10-9-20-15-26-12-11-19(20)13-21/h5-13,15,22H,2-4,14,16,25H2,1H3,(H,27,29)","SXDDEBSPMPOXHW-UHFFFAOYSA-N","CCCCC(=O)OCc1ccc(C(CN)C(=O)Nc2ccc3cnccc3c2)cc1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL2440748","InChI=1S/C26H29N3O3/c1-2-3-4-5-15-32-26(31)21-8-6-7-19(16-21)24-17-20(9-10-22(24)18-27)25(30)29-23-11-13-28-14-12-23/h6-14,16-17H,2-5,15,18,27H2,1H3,(H,28,29,30)","FUBSIWRBTDTCKE-UHFFFAOYSA-N","CCCCCCOC(=O)c1cccc(-c2cc(C(=O)Nc3ccncc3)ccc2CN)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL2440747","InChI=1S/C25H27N3O3/c1-2-3-4-14-31-25(30)20-7-5-6-18(15-20)23-16-19(8-9-21(23)17-26)24(29)28-22-10-12-27-13-11-22/h5-13,15-16H,2-4,14,17,26H2,1H3,(H,27,28,29)","YKXMTMJTVOENIT-UHFFFAOYSA-N","CCCCCOC(=O)c1cccc(-c2cc(C(=O)Nc3ccncc3)ccc2CN)c1","Active"
"O75116","Rho-associated protein kinase 2","Ki","CHEMBL1968459","InChI=1S/C15H17N5/c1-2-3-6-16-14-8-13(19-10-20-14)12-9-18-15-11(12)5-4-7-17-15/h4-5,7-10H,2-3,6H2,1H3,(H,17,18)(H,16,19,20)","YJBNTRQKJQHMTM-UHFFFAOYSA-N","CCCCNc1cc(-c2c[nH]c3ncccc23)ncn1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL2440746","InChI=1S/C24H25N3O3/c1-2-3-13-30-24(29)19-6-4-5-17(14-19)22-15-18(7-8-20(22)16-25)23(28)27-21-9-11-26-12-10-21/h4-12,14-15H,2-3,13,16,25H2,1H3,(H,26,27,28)","RUKUHGXZSDHQDA-UHFFFAOYSA-N","CCCCOC(=O)c1cccc(-c2cc(C(=O)Nc3ccncc3)ccc2CN)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3426631","InChI=1S/C31H29FN4O4/c1-2-3-14-40-31(39)23-8-5-9-25(16-23)35-29(37)21-7-4-6-20(15-21)26-17-22(10-11-24(26)18-33)30(38)36-28-12-13-34-19-27(28)32/h4-13,15-17,19H,2-3,14,18,33H2,1H3,(H,35,37)(H,34,36,38)","QPKXNVVTKFCAMU-UHFFFAOYSA-N","CCCCOC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3700904","InChI=1S/C27H30N6O2S/c1-3-4-11-22(30-26(35)29-21-10-5-7-18(14-21)16-28)19-8-6-9-20(15-19)25(34)32-27-31-23-12-13-33(2)17-24(23)36-27/h5-10,14-15,22H,3-4,11-13,17H2,1-2H3,(H2,29,30,35)(H,31,32,34)/t22-/m1/s1","RSXLKHZKDPTRJL-JOCHJYFZSA-N","CCCC[C@@H](NC(=O)Nc1cccc(C#N)c1)c1cccc(C(=O)Nc2nc3c(s2)CN(C)CC3)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3700971","InChI=1S/C28H34N4O4S/c1-5-6-10-21(29-26(33)20-11-12-23(35-3)24(16-20)36-4)18-8-7-9-19(15-18)27(34)31-28-30-22-13-14-32(2)17-25(22)37-28/h7-9,11-12,15-16,21H,5-6,10,13-14,17H2,1-4H3,(H,29,33)(H,30,31,34)/t21-/m1/s1","NYHXYBSLHAXDHQ-OAQYLSRUSA-N","CCCC[C@@H](NC(=O)c1ccc(OC)c(OC)c1)c1cccc(C(=O)Nc2nc3c(s2)CN(C)CC3)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3700930","InChI=1S/C28H34N4O3S/c1-5-13-29-22-10-11-23-25(16-22)36-28(31-23)32-27(34)20-8-6-7-19(15-20)18(3)30-26(33)21-9-12-24(35-4)17(2)14-21/h6-9,12,14-15,18,22,29H,5,10-11,13,16H2,1-4H3,(H,30,33)(H,31,32,34)/t18-,22+/m1/s1","RPMYHBJDVAJJFF-GCJKJVERSA-N","CCCN[C@H]1CCc2nc(NC(=O)c3cccc([C@@H](C)NC(=O)c4ccc(OC)c(C)c4)c3)sc2C1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3700928","InChI=1S/C27H31ClN4O3S/c1-4-12-29-20-9-10-22-24(15-20)36-27(31-22)32-26(34)18-7-5-6-17(13-18)16(2)30-25(33)19-8-11-23(35-3)21(28)14-19/h5-8,11,13-14,16,20,29H,4,9-10,12,15H2,1-3H3,(H,30,33)(H,31,32,34)/t16-,20+/m1/s1","JMLMFOQFVNVALG-UZLBHIALSA-N","CCCN[C@H]1CCc2nc(NC(=O)c3cccc([C@@H](C)NC(=O)c4ccc(OC)c(Cl)c4)c3)sc2C1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3700926","InChI=1S/C28H34N4O4S/c1-5-13-29-21-10-11-22-25(16-21)37-28(31-22)32-27(34)19-8-6-7-18(14-19)17(2)30-26(33)20-9-12-23(35-3)24(15-20)36-4/h6-9,12,14-15,17,21,29H,5,10-11,13,16H2,1-4H3,(H,30,33)(H,31,32,34)/t17-,21+/m1/s1","MOZJYPDRNHDIPZ-UTKZUKDTSA-N","CCCN[C@H]1CCc2nc(NC(=O)c3cccc([C@@H](C)NC(=O)c4ccc(OC)c(OC)c4)c3)sc2C1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3700924","InChI=1S/C29H32N6O2S/c1-2-13-31-22-11-12-24-26(17-22)38-28(33-24)34-27(36)21-8-4-7-20(16-21)25-10-5-14-35(25)29(37)32-23-9-3-6-19(15-23)18-30/h3-4,6-9,15-16,22,25,31H,2,5,10-14,17H2,1H3,(H,32,37)(H,33,34,36)/t22-,25+/m0/s1","XADRFNDKZMGPNI-WIOPSUGQSA-N","CCCN[C@H]1CCc2nc(NC(=O)c3cccc([C@H]4CCCN4C(=O)Nc4cccc(C#N)c4)c3)sc2C1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3426634","InChI=1S/C30H26F2N4O4/c1-2-12-40-30(39)21-8-9-24(31)27(15-21)36-28(37)19-5-3-4-18(13-19)23-14-20(6-7-22(23)16-33)29(38)35-26-10-11-34-17-25(26)32/h3-11,13-15,17H,2,12,16,33H2,1H3,(H,36,37)(H,34,35,38)","ODLKMJZPUNGLRA-UHFFFAOYSA-N","CCCOC(=O)c1ccc(F)c(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL2440745","InChI=1S/C23H23N3O3/c1-2-12-29-23(28)18-5-3-4-16(13-18)21-14-17(6-7-19(21)15-24)22(27)26-20-8-10-25-11-9-20/h3-11,13-14H,2,12,15,24H2,1H3,(H,25,26,27)","OVIAEPAPINRQRA-UHFFFAOYSA-N","CCCOC(=O)c1cccc(-c2cc(C(=O)Nc3ccncc3)ccc2CN)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL2440750","InChI=1S/C23H22FN3O3/c1-2-10-30-23(29)17-5-3-4-15(11-17)19-12-16(6-7-18(19)13-25)22(28)27-21-8-9-26-14-20(21)24/h3-9,11-12,14H,2,10,13,25H2,1H3,(H,26,27,28)","PNWBYIFLWUCWKS-UHFFFAOYSA-N","CCCOC(=O)c1cccc(-c2cc(C(=O)Nc3ccncc3F)ccc2CN)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL3426638","InChI=1S/C30H27FN4O4/c1-2-13-39-30(38)22-7-3-6-20(14-22)28(36)34-24-8-4-5-19(15-24)25-16-21(9-10-23(25)17-32)29(37)35-27-11-12-33-18-26(27)31/h3-12,14-16,18H,2,13,17,32H2,1H3,(H,34,36)(H,33,35,37)","VYHBFHRRIDDVDP-UHFFFAOYSA-N","CCCOC(=O)c1cccc(C(=O)Nc2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL4469434","InChI=1S/C23H24N2O2/c1-3-15-27-22-6-4-5-21(16-22)17(2)25-23(26)20-9-7-18(8-10-20)19-11-13-24-14-12-19/h4-14,16-17H,3,15H2,1-2H3,(H,25,26)/t17-/m1/s1","VAMDLIMJLAPZGX-QGZVFWFLSA-N","CCCOc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccncc3)cc2)c1","Active"
"O75116","Rho-associated protein kinase 2","IC50","CHEMBL4576394","InChI=1S/C27H24N2O5/c1-2-4-18-7-9-19(10-8-18)27(32)29-21-6-3-5-20(15-21)28-26(31)17-34-22-11-12-23-24(30)13-14-33-25(23)16-22/h3,5-16H,2,4,17H2,1H3,(H,28,31)(H,29,32)","YNXRZSCAJYMWMX-UHFFFAOYSA-N","CCCc1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1","Active"
